ID,Idade,Renda,Regiao,Genero,seguro auto,seguro vida Emp,seguro vida PF,Seguro Residencial
71504.000,42.993,4428.512,"NE",1.000,"T","T","T","T"
59751.000,26.373,4489.930,"CO",0.000,"T","T","T","T"
11877.000,46.977,4567.741,"CO",0.000,"F","F","F","F"
33701.000,24.311,4592.132,"NE",0.000,"F","F","F","F"
62029.000,28.896,4723.197,"SE",1.000,"F","F","F","F"
9303.000,37.735,4842.616,"CO",0.000,"F","F","F","F"
90686.000,38.629,4851.971,"SE",0.000,"F","F","F","F"
7264.000,61.835,4901.463,"SE",1.000,"F","F","F","F"
26469.000,37.715,4912.833,"SE",0.000,"F","F","F","T"
81744.000,29.022,4963.967,"CO",0.000,"T","T","T","T"
57086.000,34.094,4981.786,"S",0.000,"F","F","F","F"
27557.000,39.807,5010.530,"SE",1.000,"T","T","T","T"
86946.000,28.556,5061.727,"CO",0.000,"F","F","F","F"
32133.000,38.736,5069.864,"CO",0.000,"T","T","F","F"
80957.000,38.590,5085.381,"SE",0.000,"T","F","F","F"
45472.000,20.710,5111.612,"S",0.000,"T","T","T","T"
22358.000,55.698,5114.519,"S",0.000,"F","F","F","T"
38317.000,21.718,5116.778,"SE",1.000,"T","T","T","T"
29686.000,36.615,5135.721,"SE",1.000,"F","F","F","F"
9195.000,36.203,5136.596,"SE",1.000,"F","F","F","F"
44366.000,46.612,5138.894,"SE",1.000,"T","T","T","T"
15400.000,31.420,5166.372,"NE",0.000,"F","F","F","F"
2139.000,52.772,5169.263,"N",1.000,"F","T","F","F"
80568.000,21.531,5198.168,"NE",0.000,"F","F","F","F"
94158.000,55.613,5209.523,"SE",1.000,"F","F","F","F"
14658.000,47.887,5222.929,"SE",1.000,"F","F","F","T"
67397.000,36.174,5228.304,"CO",0.000,"F","T","F","F"
3712.000,43.845,5230.092,"SE",1.000,"F","T","F","F"
80170.000,33.922,5243.298,"S",1.000,"F","F","F","F"
76242.000,33.165,5249.085,"SE",0.000,"T","T","T","T"
16300.000,39.870,5260.339,"NE",1.000,"T","T","T","T"
32197.000,44.624,5262.805,"NE",0.000,"F","T","F","F"
59747.000,65.391,5270.823,"SE",1.000,"F","F","F","T"
20858.000,36.170,5276.354,"SE",0.000,"T","F","F","F"
24037.000,50.982,5277.461,"NE",1.000,"F","F","F","T"
52127.000,21.120,5285.466,"SE",0.000,"F","T","F","F"
44319.000,36.400,5294.479,"SE",1.000,"F","F","F","F"
61352.000,58.630,5310.536,"SE",1.000,"F","F","F","F"
93852.000,38.111,5313.528,"SE",1.000,"F","T","F","F"
94523.000,44.486,5313.654,"SE",0.000,"F","T","F","F"
87793.000,48.786,5328.801,"SE",0.000,"T","F","F","F"
98296.000,57.978,5340.952,"NE",1.000,"F","F","F","F"
92090.000,43.398,5345.568,"SE",1.000,"F","F","F","F"
42783.000,65.819,5353.542,"SE",1.000,"F","F","F","F"
97924.000,61.792,5355.904,"CO",0.000,"T","T","T","T"
