ID,Investimento Fundos_cambiais,Investimento Fundos_commodities,Investimento LCI,Investimento LCA,Investimento Poupanca,Investimento Fundos Multimercado,Investimento Tesouro Direto
71504.000,"F","F","F","F","F","F","F"
59751.000,"F","F","F","F","F","F","F"
11877.000,"F","F","F","F","F","F","F"
33701.000,"T","T","T","T","T","T","T"
62029.000,"F","F","T","F","T","T","F"
9303.000,"F","F","F","F","F","T","F"
90686.000,"F","F","F","F","F","T","F"
7264.000,"F","F","F","F","F","F","F"
26469.000,"F","F","F","F","F","T","F"
81744.000,"F","F","F","F","T","F","F"
57086.000,"F","T","F","F","T","F","F"
27557.000,"F","T","F","F","F","F","F"
86946.000,"F","F","F","F","F","T","F"
32133.000,"T","T","T","T","T","T","F"
80957.000,"T","T","T","T","T","T","T"
45472.000,"T","T","T","T","T","F","T"
22358.000,"F","F","F","F","F","F","T"
38317.000,"F","F","T","F","F","F","T"
29686.000,"T","F","F","T","F","F","T"
9195.000,"T","F","F","F","T","F","F"
44366.000,"F","F","F","F","F","F","T"
15400.000,"F","F","F","F","F","F","F"
2139.000,"T","T","T","T","T","T","T"
80568.000,"F","F","F","F","F","F","T"
94158.000,"T","F","F","F","T","F","F"
14658.000,"F","F","F","F","F","F","T"
67397.000,"F","F","F","F","F","F","F"
3712.000,"F","F","T","F","T","F","T"
80170.000,"T","F","F","F","F","T","F"
76242.000,"T","T","T","T","T","T","T"
16300.000,"F","T","F","F","T","F","F"
32197.000,"T","F","F","T","F","T","F"
59747.000,"F","F","F","F","T","F","F"
20858.000,"T","T","F","T","F","F","F"
24037.000,"T","T","F","F","F","F","F"
52127.000,"T","F","F","T","F","F","T"
44319.000,"T","T","T","F","F","F","T"
61352.000,"F","F","F","F","T","T","T"
93852.000,"F","F","F","F","T","F","F"
94523.000,"F","F","F","F","F","T","F"
87793.000,"F","F","F","F","F","T","F"
98296.000,"F","F","F","T","F","F","F"
92090.000,"F","F","F","T","T","F","F"
42783.000,"F","F","F","T","F","F","F"
97924.000,"T","T","T","T","T","F","F"
28676.000,"F","F","T","T","F","T","F"
96798.000,"F","F","F","F","F","F","F"
4813.000,"F","T","T","F","F","F","F"
58114.000,"F","F","T","F","T","F","F"
98092.000,"F","F","F","F","F","T","T"
7402.000,"F","F","F","F","F","T","T"
47085.000,"F","F","T","F","F","F","T"
13792.000,"F","T","F","T","F","F","F"
28071.000,"F","F","T","F","F","F","F"
16312.000,"F","F","F","F","T","T","T"
29060.000,"F","T","F","F","F","F","T"
82424.000,"T","T","T","T","T","T","F"
98383.000,"F","T","F","F","F","T","F"
10853.000,"F","F","F","T","F","F","F"
2699.000,"T","T","T","T","T","T","F"
84814.000,"F","F","F","F","F","T","F"
94635.000,"T","T","T","T","T","F","T"
8524.000,"F","F","F","F","F","F","F"
49841.000,"T","T","T","T","T","F","F"
38646.000,"F","F","F","F","T","F","F"
83672.000,"T","F","F","F","T","F","F"
47593.000,"F","F","F","F","F","F","F"
91417.000,"F","F","F","F","F","F","F"
36725.000,"F","T","F","F","F","F","F"
89823.000,"F","F","F","F","T","F","F"
88054.000,"T","T","T","T","T","F","F"
9115.000,"T","T","F","F","F","F","T"
38001.000,"F","T","F","F","T","F","F"
8013.000,"T","T","T","T","T","F","F"
6531.000,"F","F","F","F","T","F","F"
38275.000,"T","T","F","T","F","F","F"
85248.000,"F","T","F","F","F","F","F"
4167.000,"T","T","T","T","T","T","T"
23834.000,"F","F","T","F","F","F","T"
16404.000,"F","F","F","F","F","F","T"
90933.000,"T","T","T","T","T","F","F"
17588.000,"F","F","F","F","F","F","F"
18856.000,"F","T","F","F","F","F","T"
29806.000,"F","F","T","F","T","T","F"
85324.000,"F","F","F","T","F","F","T"
45760.000,"F","F","F","F","F","F","F"
58082.000,"F","T","F","T","F","F","T"
34630.000,"T","F","F","F","T","T","F"
31009.000,"F","T","F","F","F","F","F"
62009.000,"T","T","F","T","F","F","F"
21018.000,"T","T","T","T","T","T","F"
40437.000,"F","F","F","F","F","F","F"
69857.000,"F","F","F","F","T","T","F"
21400.000,"F","T","F","F","T","F","F"
50019.000,"F","F","F","F","T","T","F"
10845.000,"F","F","F","F","T","F","T"
83110.000,"F","F","T","F","F","F","F"
69115.000,"F","F","F","F","T","F","F"
65311.000,"F","T","T","F","F","F","T"
43859.000,"T","T","T","T","T","T","F"
43859.000,"T","T","T","T","T","T","F"
79023.000,"T","T","F","F","F","F","T"
61135.000,"T","T","F","T","T","T","F"
29785.000,"F","T","T","F","F","F","F"
56809.000,"F","F","F","F","F","F","F"
3329.000,"F","F","F","F","T","F","T"
96957.000,"T","T","T","T","T","F","T"
62237.000,"T","F","F","F","T","T","F"
29092.000,"F","F","F","F","T","F","F"
73421.000,"F","T","F","F","T","T","T"
9274.000,"F","F","F","F","F","T","T"
43095.000,"F","F","F","F","F","F","F"
42879.000,"F","F","F","F","F","F","F"
45170.000,"F","F","F","F","F","T","F"
47587.000,"T","T","T","T","T","T","F"
3997.000,"T","F","T","F","F","F","F"
73460.000,"F","T","T","F","F","F","F"
58869.000,"F","T","T","F","F","F","F"
32324.000,"F","F","F","F","F","F","T"
96399.000,"F","F","F","F","F","F","F"
18831.000,"F","T","F","F","F","F","F"
90762.000,"F","F","F","F","T","F","F"
58275.000,"F","T","F","F","F","T","F"
82779.000,"F","F","F","F","T","F","T"
51353.000,"T","F","T","F","T","F","F"
2907.000,"T","T","T","F","T","F","F"
80200.000,"T","T","T","T","T","T","T"
78512.000,"F","F","F","T","F","F","T"
37470.000,"F","F","F","F","F","F","F"
91484.000,"T","F","F","F","T","F","F"
72936.000,"F","F","F","F","T","F","F"
66544.000,"F","F","T","T","F","F","T"
75962.000,"T","F","T","T","F","F","F"
29954.000,"F","T","F","F","F","F","T"
82107.000,"T","F","T","F","T","F","F"
86672.000,"F","F","F","F","F","F","F"
61979.000,"T","T","T","T","T","T","T"
54030.000,"F","T","F","F","F","T","F"
73248.000,"F","T","F","T","F","F","F"
53067.000,"T","F","F","F","F","F","F"
66554.000,"T","F","F","F","F","F","F"
13207.000,"F","F","F","T","F","F","F"
6798.000,"T","T","T","F","T","F","F"
56061.000,"F","F","F","F","F","F","F"
2881.000,"T","F","F","F","F","F","F"
8733.000,"F","F","F","F","T","F","F"
58568.000,"F","F","F","F","T","T","F"
49393.000,"F","F","F","T","T","F","T"
45897.000,"F","T","F","F","F","F","F"
53874.000,"T","F","F","F","T","T","F"
36513.000,"F","F","F","F","T","F","T"
53348.000,"T","T","T","T","F","T","T"
58482.000,"F","F","F","F","T","F","F"
23682.000,"F","F","F","F","F","T","T"
98178.000,"F","F","T","T","F","T","F"
31651.000,"F","F","F","F","T","F","F"
52321.000,"F","F","F","F","F","F","F"
83348.000,"T","T","F","T","F","T","F"
97470.000,"F","F","F","F","F","F","F"
38053.000,"T","F","F","F","F","F","T"
18553.000,"T","T","T","T","T","F","F"
11916.000,"F","F","F","F","T","F","F"
28817.000,"F","F","T","F","T","F","T"
59353.000,"F","T","F","F","F","F","F"
23546.000,"T","F","F","F","F","F","F"
44458.000,"F","F","T","F","T","F","F"
1947.000,"F","F","F","T","T","F","F"
53755.000,"F","F","F","F","F","F","F"
63311.000,"T","T","T","T","T","F","F"
95714.000,"F","F","F","F","F","F","F"
100174.000,"F","T","F","F","F","F","F"
67479.000,"T","T","T","F","F","F","F"
64637.000,"F","F","F","F","F","F","F"
69194.000,"F","F","F","T","T","F","T"
29920.000,"T","T","T","T","T","T","T"
13724.000,"F","F","F","F","F","T","F"
53801.000,"F","F","F","F","F","F","T"
26062.000,"T","T","T","T","T","F","F"
2242.000,"T","F","F","F","F","T","T"
32492.000,"T","F","F","F","F","F","T"
66724.000,"F","F","F","T","T","F","F"
20886.000,"T","T","T","T","T","T","T"
38655.000,"F","T","F","F","F","T","T"
48090.000,"T","F","F","F","T","F","T"
46804.000,"T","T","T","T","F","F","F"
28633.000,"F","T","F","F","F","F","F"
87244.000,"T","F","F","F","F","F","F"
45411.000,"F","F","F","F","T","F","F"
87420.000,"F","F","F","T","T","F","F"
12423.000,"F","F","F","F","F","F","F"
91164.000,"T","T","T","T","T","T","T"
59764.000,"T","T","F","F","F","F","F"
67554.000,"F","F","F","F","F","F","T"
78640.000,"F","F","F","F","T","F","F"
77869.000,"T","T","T","T","T","F","F"
7192.000,"T","F","F","F","F","F","T"
7283.000,"F","F","F","F","T","F","F"
13501.000,"T","T","T","T","T","T","T"
73547.000,"F","F","F","F","T","F","T"
94552.000,"F","F","F","F","T","T","F"
100200.000,"T","T","F","T","F","F","F"
96284.000,"F","T","T","F","T","F","T"
48577.000,"F","F","F","F","F","F","T"
9332.000,"T","F","F","F","F","F","T"
46447.000,"T","F","F","F","T","F","T"
10607.000,"F","F","F","T","F","F","F"
77230.000,"F","F","F","F","T","T","F"
7050.000,"F","F","F","T","T","F","F"
37740.000,"T","T","T","F","T","F","F"
96027.000,"F","F","F","F","F","F","F"
20517.000,"F","F","F","F","F","F","T"
88597.000,"F","F","T","T","T","F","F"
8205.000,"F","F","F","F","T","F","F"
38376.000,"T","T","T","T","T","F","F"
92102.000,"T","F","F","F","T","F","T"
11573.000,"T","F","F","T","F","F","T"
17206.000,"F","F","F","T","F","F","F"
7279.000,"F","F","F","F","T","F","F"
98791.000,"F","T","T","T","T","F","F"
42762.000,"F","F","T","F","T","F","F"
75242.000,"T","F","F","F","F","F","F"
23723.000,"T","F","T","F","F","F","T"
9424.000,"T","T","T","T","T","F","F"
67019.000,"T","F","F","F","T","F","F"
68316.000,"T","T","T","T","T","T","T"
27343.000,"F","F","F","F","T","F","F"
26005.000,"F","F","F","F","F","F","F"
78943.000,"F","T","F","F","F","T","F"
14422.000,"T","T","F","F","F","F","F"
14422.000,"T","T","F","F","F","F","F"
88910.000,"F","T","F","F","F","F","F"
40707.000,"F","F","F","F","F","F","F"
59582.000,"T","F","F","F","F","F","F"
29988.000,"F","F","T","F","F","F","T"
100262.000,"F","T","F","F","F","T","F"
87100.000,"F","F","T","F","T","T","F"
10680.000,"F","F","F","F","T","F","T"
22909.000,"F","F","F","T","F","F","F"
95282.000,"T","T","F","F","F","T","F"
53799.000,"F","T","F","F","F","F","F"
20066.000,"F","F","F","F","F","F","T"
91708.000,"T","T","T","T","T","T","F"
44997.000,"T","F","F","F","F","F","F"
73222.000,"F","F","F","F","F","F","F"
17811.000,"F","F","F","F","F","F","F"
18780.000,"T","T","T","T","T","T","T"
13540.000,"T","T","T","T","T","F","F"
19855.000,"F","F","F","F","F","F","T"
85346.000,"F","F","F","F","F","F","F"
96068.000,"F","T","F","F","F","T","F"
43298.000,"T","T","T","T","T","T","T"
31125.000,"F","F","F","F","F","F","T"
63707.000,"T","F","T","T","F","F","T"
16152.000,"F","F","T","F","F","F","F"
43870.000,"F","F","F","F","F","F","T"
43870.000,"F","F","F","F","F","F","T"
56390.000,"T","F","F","F","F","T","F"
39723.000,"T","T","T","T","T","F","T"
25387.000,"F","T","F","F","F","T","F"
16383.000,"T","F","F","F","F","F","F"
7937.000,"F","F","F","F","T","T","T"
20668.000,"F","F","F","F","F","F","F"
26425.000,"F","T","F","T","T","F","T"
92148.000,"F","F","F","F","F","F","F"
39559.000,"F","F","F","T","F","F","F"
97575.000,"T","F","F","F","T","F","F"
24128.000,"F","T","F","T","T","F","T"
97507.000,"F","T","F","F","T","F","F"
8655.000,"F","T","F","F","F","T","T"
35990.000,"T","T","T","T","T","T","T"
54519.000,"F","F","F","T","T","F","F"
8026.000,"T","F","F","T","T","F","T"
29389.000,"T","T","F","T","F","F","F"
99702.000,"F","F","F","F","T","F","F"
51630.000,"F","T","F","F","F","T","T"
31369.000,"F","F","F","F","F","F","F"
13021.000,"F","F","F","F","T","F","F"
46501.000,"F","F","F","F","F","F","F"
40496.000,"F","F","T","F","F","F","T"
79868.000,"F","T","F","T","F","F","T"
10512.000,"T","T","T","F","F","F","F"
43964.000,"T","F","T","F","F","F","F"
56295.000,"T","T","T","T","T","T","T"
30396.000,"F","F","F","F","T","F","F"
27781.000,"F","F","F","F","F","F","F"
33430.000,"F","F","T","T","T","F","F"
71203.000,"T","F","F","T","T","F","F"
43104.000,"F","F","F","F","F","F","F"
25588.000,"F","F","F","F","F","T","F"
28154.000,"F","F","F","F","F","T","T"
81334.000,"F","F","F","F","T","F","F"
19596.000,"T","T","T","T","T","F","F"
26467.000,"F","F","T","T","F","F","T"
19262.000,"F","T","F","F","F","F","T"
37383.000,"T","F","F","F","F","T","T"
92500.000,"T","T","T","T","T","F","F"
45559.000,"F","F","F","F","F","F","F"
14642.000,"T","F","F","T","T","F","F"
92550.000,"F","F","F","F","F","F","F"
56569.000,"F","F","F","F","F","T","F"
52914.000,"F","T","F","F","F","F","F"
98402.000,"F","F","T","F","F","F","F"
51384.000,"T","T","F","F","F","T","F"
12945.000,"T","T","T","T","T","T","T"
54856.000,"T","T","F","F","F","F","F"
95231.000,"F","F","F","F","T","F","F"
3708.000,"T","T","T","T","T","T","T"
93293.000,"F","F","T","F","F","F","T"
66645.000,"F","F","F","F","T","T","T"
79971.000,"F","F","F","F","T","F","F"
22878.000,"F","F","T","F","T","F","T"
28488.000,"F","T","F","F","T","T","F"
60789.000,"F","F","F","F","F","F","F"
92927.000,"T","T","T","F","T","T","F"
47391.000,"F","F","F","F","F","F","T"
80401.000,"F","F","F","T","T","F","F"
2769.000,"F","F","T","F","T","F","F"
80600.000,"F","T","F","F","T","T","T"
57245.000,"F","F","F","F","F","F","F"
5684.000,"T","F","F","F","F","F","T"
31891.000,"F","F","F","F","T","F","F"
31961.000,"F","F","F","F","T","F","F"
47991.000,"F","F","T","F","F","F","F"
95017.000,"F","F","F","F","T","F","F"
100109.000,"T","T","T","T","T","T","T"
64278.000,"F","F","F","T","F","F","F"
31957.000,"F","F","F","F","F","T","F"
62049.000,"F","F","F","F","T","F","T"
60472.000,"F","F","F","F","T","T","F"
5700.000,"F","T","T","T","F","T","F"
85412.000,"F","T","F","F","F","F","F"
25276.000,"F","F","T","T","T","F","F"
47348.000,"F","F","F","F","T","T","F"
59031.000,"T","T","T","T","T","T","T"
68325.000,"F","F","F","T","F","F","F"
