ID,Financiamento Casa,Financiamento Carro,Emprestimo _pessoal,Emprestimo _consignado,Emprestimo _limite_especial,Emprestimo _educacao,Emprestimo _viagem,Investimento CDB,Investimento Fundos
71504.000,"T","T","T","T","T","F","F","T","F"
59751.000,"T","T","T","T","T","F","F","F","T"
11877.000,"F","F","F","F","F","F","F","F","F"
33701.000,"F","F","F","F","F","F","F","F","F"
62029.000,"F","T","T","T","T","T","T","T","T"
9303.000,"F","T","T","F","F","T","F","F","F"
90686.000,"F","F","F","F","F","F","F","F","F"
7264.000,"F","F","F","F","F","F","F","F","F"
26469.000,"F","F","T","F","F","F","F","T","F"
81744.000,"F","F","F","F","F","F","F","F","F"
57086.000,"F","F","F","F","F","F","F","T","F"
27557.000,"F","F","F","F","F","F","F","F","F"
86946.000,"F","T","F","F","F","F","T","T","F"
32133.000,"F","F","T","F","F","F","F","T","T"
80957.000,"F","F","F","F","F","F","F","F","F"
45472.000,"F","F","F","F","F","F","F","T","T"
22358.000,"F","T","F","F","T","F","F","F","F"
38317.000,"F","F","F","F","F","F","F","F","F"
29686.000,"F","T","F","F","F","F","F","F","F"
9195.000,"F","F","F","F","F","F","F","F","T"
44366.000,"F","F","T","F","F","F","F","F","F"
15400.000,"F","F","F","F","F","F","F","F","T"
2139.000,"F","F","F","F","F","T","F","T","T"
80568.000,"F","F","F","F","F","F","F","T","T"
94158.000,"T","F","F","F","F","F","F","F","F"
14658.000,"F","F","F","F","F","F","T","T","F"
67397.000,"F","F","F","F","F","F","T","F","T"
3712.000,"F","T","F","F","F","F","F","F","F"
80170.000,"F","F","F","F","F","F","F","T","T"
76242.000,"F","T","F","F","F","F","F","T","T"
16300.000,"T","T","T","T","T","F","F","F","F"
32197.000,"F","F","F","F","F","F","F","T","F"
59747.000,"F","F","F","F","T","F","F","F","F"
20858.000,"T","T","F","F","F","T","F","F","F"
24037.000,"F","F","T","F","F","F","F","T","F"
52127.000,"F","F","F","F","F","F","F","F","F"
44319.000,"F","F","F","F","F","T","T","T","T"
