rowid,kepid,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,TARGET
1,,,1.0,0.0,,0.0,0.0,9.4880355700,0.0277500000,-0.0277500000,170.5387500000,0.0021600000,-0.0021600000,146.0000000000,318.0000000000,-146.0000000000,,0.0819000000,-0.0819000000,615.8000000000,19.5000000000,,2.2600000000,,-0.1500000000,793.0000000000,93.5900000000,29.4500000000,-16.6500000000,35.8000000000,1.0000000000,5455.0000000000,81.0000000000,-81.0000000000,4467.0000000000,64.0000000000,-96.0000000000,927.0000000000,105.0000000000,-61.0000000000,291.9342300000,48.1416510000,15.3470000000,0.0
2,10797460,CANDIDATE,969,0.0,,,,54.4183827000,,,,0.0035200000,-0.0035200000,,59.0000000000,-443.0000000000,4507.0000000000,116.0000000000,,874.8000000000,35.5000000000,-35.5000000000,2.8300000000,0.3200000000,-0.1900000000,443.0000000000,,2.8700000000,-1.6200000000,25.8000000000,2.0000000000,5455.0000000000,81.0000000000,,4467.0000000000,64.0000000000,-96.0000000000,,,-61.0000000000,291.9342300000,48.1416510000,15.3470000000,0.0
3,10811496,FALSE POSITIVE,0.0,0.0,1.0,0.0,,,0.0149400000,-0.0149400000,175.8502520000,0.0005810000,,969.0000000000,5126.0000000000,-77.0000000000,1.7822000000,0.0341000000,-0.0341000000,10829.0000000000,171.0000000000,-171.0000000000,14.6000000000,3.9200000000,,638.0000000000,39.3000000000,31.0400000000,-10.4900000000,76.3000000000,1.0000000000,5853.0000000000,158.0000000000,-176.0000000000,4544.0000000000,,,,233.0000000000,-78.0000000000,297.0048200000,48.1341290000,15436.0000000000,1.0
4,10848459,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,,0.0000002630,-0.0000002630,170.3075650000,0.0001150000,-0.0001150000,,115.0000000000,-92.0000000000,2.4064100000,0.0053700000,-0.0053700000,,12.8000000000,-12.8000000000,33.4600000000,,-2.8300000000,1395.0000000000,891.9600000000,668.9500000000,-230.3500000000,505.6000000000,,5805.0000000000,157.0000000000,-174.0000000000,4564.0000000000,53.0000000000,-168.0000000000,791.0000000000,201.0000000000,-67.0000000000,285.5346100000,,15.5970000000,1.0
5,10854555,CANDIDATE,1.0,0.0,0.0,0.0,0.0,2.5255917770,,-0.0037610000,171.5955500000,,-0.0011300000,,235.0000000000,-478.0000000000,1.6545000000,42.0000000000,-42.0000000000,603.3000000000,16.9000000000,-16.9000000000,2.7500000000,0.8800000000,-0.3500000000,1406.0000000000,926.1600000000,,-314.2400000000,40.9000000000,1.0000000000,6031.0000000000,169.0000000000,-211.0000000000,4438.0000000000,0.0700000000,-0.2100000000,1046.0000000000,334.0000000000,-133.0000000000,,48.2262000000,15509.0000000000,0.0
,10872983,CANDIDATE,1.0,0.0,0.0,0.0,0.0,11.0943205400,,-0.0203600000,171.2011600000,,-0.0014100000,,,,,,-61.0000000000,,24.2000000000,-24.2000000000,3.9000000000,1.2700000000,-0.4200000000,835.0000000000,114.8100000000,112.8500000000,-36.7000000000,,1.0000000000,,189.0000000000,-232.0000000000,4.4860000000,0.0540000000,-0.2290000000,972.0000000000,315.0000000000,,296.2861300000,48.2246700000,15714.0000000000,0.0
7,10872983,CANDIDATE,1.0,0.0,0.0,0.0,,4.1344351200,0.0104600000,-0.0104600000,172.9793700000,,-0.0019000000,762.0000000000,139.0000000000,,,0.0673000000,,686.0000000000,18.7000000000,-18.7000000000,2.7700000000,0.9000000000,-0.3000000000,1160.0000000000,427.6500000000,420.3300000000,-136.7000000000,40.2000000000,2.0000000000,6046.0000000000,189.0000000000,-232.0000000000,4.4860000000,,-0.2290000000,972.0000000000,315.0000000000,-105.0000000000,296.2861300000,48.2246700000,,0.0
8,10872983,,992,0.0,0.0,0.0,0.0,2.5665889700,0.0178100000,-0.0178100000,,0.0046100000,-0.0046100000,,,-523.0000000000,2429.0000000000,,-165.0000000000,226.5000000000,16.8000000000,-16.8000000000,,0.5200000000,-0.1700000000,,807.7400000000,,-258.2000000000,15.0000000000,3.0000000000,6046.0000000000,189.0000000000,-232.0000000000,4.4860000000,0.0540000000,,972.0000000000,315.0000000000,,296.2861300000,48.2246700000,15714.0000000000,0.0
9,6721123,FALSE POSITIVE,0.0,,1.0,1.0,0.0,7.3617895800,0.0212800000,-0.0212800000,132.2505300000,0.0025300000,-0.0025300000,1169.0000000000,7133.0000000000,,5022.0000000000,,-136.0000000000,233.7000000000,5.8000000000,-5.8000000000,39.2100000000,6.4500000000,-9.6700000000,1342.0000000000,767.2200000000,349.2800000000,-365.4900000000,47.7000000000,1.0000000000,6227.0000000000,111.0000000000,,3986.0000000000,,-98.0000000000,1958.0000000000,322.0000000000,-483.0000000000,298.8643500000,,,1.0
10,10910878,,1.0,,0.0,0.0,0.0,16.0686467400,0.0108800000,-0.0108800000,173.6219370000,0.0005170000,-0.0005170000,52.0000000000,262.0000000000,-52.0000000000,3.5347000000,0.0241000000,-0.0241000000,,33.3000000000,-33.3000000000,5.7600000000,0.2200000000,,600.0000000000,30.7500000000,,,161.9000000000,1.0000000000,5031.0000000000,75.0000000000,-83.0000000000,4485.0000000000,83.0000000000,-0.0280000000,,33.0000000000,-72.0000000000,286.9994800000,,15841.0000000000,
,11446443,CANDIDATE,811,0.0,0.0,0.0,0.0,2.4706133770,0.0000000270,-0.0000000270,122.7633050000,0.0000087000,,818.0000000000,1.0000000000,-1.0000000000,,0.0010700000,-0.0010700000,14231.0000000000,4.2000000000,-4.2000000000,13.0400000000,0.5100000000,,1339.0000000000,,106.2100000000,,4304.3000000000,1.0000000000,5820.0000000000,78.0000000000,-78.0000000000,4457.0000000000,,-24.0000000000,964.0000000000,38.0000000000,-38.0000000000,286.8084700000,49.3163990000,11338.0000000000,0.0
12,10666592,,1.0,0.0,,0.0,0.0,,0.0000000430,-0.0000000430,121.3585417000,,-0.0000160000,224.0000000000,159.0000000000,-216.0000000000,3.8886400000,0.0020300000,-0.0020300000,,1.7000000000,,16.1000000000,0.8100000000,-0.9100000000,2048.0000000000,4148.9200000000,651.5900000000,-654.4600000000,5945.9000000000,1.0000000000,6440.0000000000,76.0000000000,,4019.0000000000,33.0000000000,-0.0270000000,,,,292.2472800000,,10463.0000000000,0.0
